School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
03690,Illinois,Amboy Community Unit School District 272,855,10%,36%,24%-48%,25%,21%-28%,1%,0%-2%,7%,3%-10%,3%,0%-6%,0%,0%-2%
03750,Illinois,Anna Community Consolidated School District 37,1022,30%,35%,20%-50%,22%,16%-28%,4%,1%-8%,28%,15%-41%,7%,0%-14%,0%,0%-3%
03780,Illinois,Anna Jonesboro Community High School District 81,1613,20%,31%,20%-41%,24%,20%-28%,3%,1%-5%,23%,14%-32%,6%,1%-10%,0%,0%-2%
03810,Illinois,Annawan Community Unit School District 226,375,11%,19%,10%-28%,31%,27%-35%,0%,0%-3%,5%,0%-11%,6%,1%-11%,0%,0%-6%
03840,Illinois,Antioch Community Consolidated School District 34,4993,6%,23%,18%-29%,30%,27%-34%,0%,0%-1%,4%,2%-6%,6%,4%-8%,0%,0%-1%
03870,Illinois,Antioch Community High School District 117,8554,5%,22%,18%-25%,30%,27%-32%,0%,0%-1%,3%,2%-4%,4%,3%-5%,0%,0%-1%
03900,Illinois,Aptakisic-Tripp Community Consolidated School District,3320,5%,18%,12%-24%,23%,20%-26%,1%,0%-2%,1%,0%-2%,1%,0%-2%,6%,3%-9%
03930,Illinois,Arbor Park School District 145,2347,15%,31%,23%-39%,29%,24%-34%,1%,0%-2%,4%,1%-8%,5%,1%-9%,0%,0%-1%
03960,Illinois,Arcola Consolidated Unit School District 306,971,11%,24%,13%-35%,24%,19%-29%,6%,2%-10%,32%,15%-49%,2%,0%-4%,16%,6%-26%
03990,Illinois,Argenta-Oreana Community Unit School District 1,1091,15%,23%,15%-32%,29%,24%-34%,0%,0%-2%,2%,0%-5%,2%,0%-5%,0%,0%-3%
04020,Illinois,Argo Community High School District 217,7272,19%,42%,35%-48%,30%,27%-32%,6%,4%-7%,17%,12%-22%,3%,2%-4%,18%,13%-23%
04050,Illinois,Summit School District 104,2782,24%,37%,28%-46%,35%,30%-40%,10%,6%-14%,20%,11%-30%,3%,1%-5%,19%,11%-26%
04140,Illinois,Arlington Heights School District 25,8001,3%,11%,7%-14%,23%,21%-25%,1%,0%-1%,3%,1%-4%,3%,1%-4%,2%,1%-4%
04170,Illinois,Township High School District 214,"38,791",7%,20%,18%-22%,28%,27%-29%,3%,3%-4%,10%,8%-13%,4%,3%-5%,10%,8%-11%
04200,Illinois,Armstrong-Ellis Consolidated School District 61,86,17%,27%,15%-40%,25%,18%-32%,0%,0%-7%,10%,0%-25%,3%,0%-17%,0%,0%-26%
04230,Illinois,Armstrong Township High School District 225,218,10%,15%,9%-21%,20%,15%-25%,0%,0%-5%,5%,0%-11%,1%,0%-7%,0%,0%-10%
04260,Illinois,Arthur Community Unit School District 305,2047,11%,12%,8%-15%,20%,17%-23%,6%,4%-7%,47%,35%-60%,3%,1%-5%,4%,0%-8%
04340,Illinois,Ashley Community Consolidated School District 15,337,14%,35%,19%-52%,17%,13%-20%,3%,0%-6%,6%,1%-12%,6%,2%-11%,0%,0%-7%
04380,Illinois,Ashton Community Unit School District 275,681,13%,32%,23%-41%,24%,20%-29%,2%,0%-4%,17%,7%-27%,6%,2%-9%,0%,0%-3%
04440,Illinois,Astoria Community Unit School District 1,314,18%,57%,39%-76%,31%,25%-38%,2%,0%-5%,9%,0%-22%,2%,0%-5%,0%,0%-7%
04470,Illinois,Athens Community Unit School District 213,1015,12%,29%,21%-37%,21%,16%-25%,1%,0%-2%,7%,1%-13%,9%,6%-13%,0%,0%-3%
04560,Illinois,Atwood Heights School District 125,1372,13%,23%,13%-33%,26%,20%-31%,3%,1%-5%,17%,4%-30%,4%,1%-7%,0%,0%-2%
04620,Illinois,Auburn Community Unit School District 10,1180,10%,31%,15%-47%,24%,19%-30%,4%,0%-7%,6%,0%-13%,3%,0%-7%,0%,0%-3%
04680,Illinois,Aurora East Unit School District 131,"19,586",17%,36%,32%-40%,32%,30%-34%,8%,7%-10%,16%,12%-19%,4%,3%-6%,18%,15%-21%
04710,Illinois,Aurora West Unit School District 129,"14,142",12%,32%,28%-36%,30%,28%-31%,3%,3%-4%,6%,5%-8%,4%,3%-6%,7%,5%-9%
04740,Illinois,Aviston School District 21,405,3%,11%,5%-17%,19%,16%-23%,1%,0%-4%,2%,0%-5%,2%,0%-6%,0%,0%-5%
04770,Illinois,Central Community High School District 71,2734,6%,22%,16%-27%,23%,20%-25%,2%,1%-3%,9%,5%-13%,1%,1%-2%,0%,0%-1%
04800,Illinois,Avoca School District 37,1305,5%,22%,14%-31%,25%,20%-30%,0%,0%-2%,4%,0%-9%,7%,3%-11%,2%,0%-4%
04920,Illinois,Ball-Chatham Community Unit School District 5,4555,6%,26%,21%-31%,22%,20%-25%,0%,0%-1%,5%,3%-8%,4%,3%-6%,0%,0%-1%
04950,Illinois,Bannockburn School District 106,290,12%,19%,8%-31%,23%,18%-28%,2%,0%-6%,7%,0%-13%,14%,4%-24%,0%,0%-8%
05050,Illinois,Barrington Community Unit School District 220,9660,7%,18%,14%-22%,25%,23%-27%,1%,0%-1%,1%,1%-2%,3%,1%-4%,3%,1%-5%
05160,Illinois,Bartelso School District 57,323,6%,11%,6%-17%,19%,15%-24%,5%,0%-13%,7%,1%-14%,3%,0%-7%,0%,0%-7%
05190,Illinois,Bartonville School District 66,216,20%,62%,51%-73%,36%,30%-42%,0%,0%-3%,23%,5%-40%,1%,0%-7%,0%,0%-10%
05220,Illinois,Batavia Unit School District 101,6032,4%,14%,10%-19%,25%,22%-27%,1%,0%-1%,3%,1%-5%,3%,1%-4%,1%,0%-3%
05310,Illinois,Beardstown Community Unit School District 15,1393,16%,38%,28%-49%,27%,22%-31%,4%,2%-6%,20%,12%-27%,0%,0%-2%,15%,7%-23%
05430,Illinois,Beecher Community Unit School District 200U,1043,6%,26%,11%-41%,26%,20%-32%,1%,0%-3%,9%,0%-18%,2%,0%-4%,0%,0%-3%
05460,Illinois,Beecher City Community Unit School District 20,366,14%,16%,10%-21%,30%,24%-36%,1%,0%-4%,15%,7%-23%,1%,0%-4%,0%,0%-6%
05466,Illinois,Marseilles Elementary School District 150,720,29%,42%,26%-59%,34%,26%-41%,2%,0%-4%,10%,1%-20%,5%,1%-8%,3%,0%-7%
05570,Illinois,Opdyke-Belle Rive Community Consolidated School District 5,342,24%,39%,22%-56%,26%,21%-31%,1%,0%-5%,32%,17%-46%,3%,0%-5%,4%,0%-11%
05580,Illinois,Belle Valley School District 119,1231,20%,45%,27%-63%,31%,25%-37%,1%,0%-2%,13%,0%-28%,3%,0%-6%,0%,0%-2%
05610,Illinois,Belleville School District 118,5237,21%,51%,43%-59%,31%,28%-34%,1%,0%-2%,11%,6%-17%,4%,2%-6%,1%,0%-2%
05640,Illinois,Belleville Township High School District 201,"15,623",13%,38%,34%-42%,30%,28%-32%,1%,1%-1%,11%,8%-14%,4%,3%-5%,0%,0%-1%
05760,Illinois,Bellwood School District 88,3741,23%,45%,36%-54%,31%,28%-35%,5%,4%-7%,16%,10%-22%,2%,0%-3%,11%,5%-17%
05790,Illinois,Belvidere Consolidated Unit School District 100,8684,11%,29%,24%-35%,27%,25%-30%,4%,2%-5%,7%,4%-10%,5%,4%-7%,3%,1%-6%
05820,Illinois,Bement Community Unit School District 5,330,9%,27%,15%-38%,22%,17%-26%,0%,0%-3%,5%,0%-11%,5%,1%-9%,0%,0%-7%
05880,Illinois,Benjamin School District 25,1143,5%,13%,4%-23%,24%,20%-28%,1%,0%-3%,0%,0%-2%,0%,0%-2%,6%,0%-14%
05910,Illinois,Bensenville School District 2,3167,12%,29%,20%-38%,26%,23%-29%,6%,4%-8%,7%,4%-10%,1%,0%-2%,16%,7%-25%
05950,Illinois,Benton Community Consolidated School District 47,1544,26%,39%,26%-52%,30%,26%-34%,1%,0%-2%,12%,7%-16%,9%,5%-12%,0%,0%-2%
05970,Illinois,Benton Consolidated High School District 103,1939,19%,35%,24%-45%,29%,26%-33%,2%,1%-2%,12%,8%-16%,9%,5%-12%,0%,0%-2%
06000,Illinois,Berkeley School District 87,4083,18%,39%,29%-50%,32%,29%-36%,5%,3%-7%,15%,10%-20%,6%,3%-8%,12%,8%-16%
06060,Illinois,Berwyn North School District 98,4777,19%,37%,30%-44%,38%,35%-41%,5%,4%-7%,19%,13%-25%,6%,3%-8%,10%,5%-14%
06090,Illinois,Berwyn South School District 100,5652,16%,35%,27%-43%,31%,27%-34%,4%,2%-6%,11%,6%-15%,5%,2%-7%,5%,2%-7%
06120,Illinois,Bethalto Consolidated Unit School District 8,2968,15%,37%,29%-44%,25%,22%-29%,2%,1%-4%,6%,3%-9%,8%,4%-12%,1%,0%-2%
06180,Illinois,Bethel School District 82,220,39%,72%,51%-94%,40%,31%-50%,1%,0%-6%,5%,0%-13%,16%,4%-28%,0%,0%-10%
06270,Illinois,Big Hollow School District 38,2690,7%,36%,23%-49%,30%,26%-35%,1%,0%-3%,2%,0%-4%,3%,1%-5%,4%,1%-6%
06390,Illinois,Bismarck-Henning Consolidated Unit School District,847,16%,25%,16%-33%,30%,25%-36%,0%,0%-1%,14%,9%-20%,2%,1%-4%,0%,0%-3%
06420,Illinois,Bloom Township High School District 206,"11,868",25%,59%,52%-66%,28%,25%-30%,3%,2%-3%,19%,15%-24%,4%,3%-6%,4%,2%-7%
06450,Illinois,Bloomingdale School District 13,1750,6%,13%,6%-21%,26%,23%-29%,1%,0%-2%,3%,0%-5%,2%,0%-4%,2%,0%-5%
06480,Illinois,Bloomington School District 87,5627,14%,32%,27%-37%,28%,26%-30%,1%,0%-1%,11%,8%-15%,10%,7%-13%,2%,1%-4%
06510,Illinois,Cook County School District 130,4987,20%,49%,40%-58%,34%,30%-37%,4%,3%-6%,23%,14%-31%,2%,1%-3%,2%,0%-4%
06540,Illinois,Community High School District 218,"18,827",15%,39%,35%-43%,31%,29%-32%,3%,2%-3%,15%,11%-18%,4%,3%-6%,2%,1%-2%
06600,Illinois,Scott-Morgan Consolidated Unit School District 2,230,24%,35%,22%-47%,26%,19%-32%,1%,0%-6%,23%,11%-36%,5%,1%-8%,0%,0%-10%
06750,Illinois,Bourbonnais School District 53,3997,14%,30%,22%-38%,26%,23%-30%,0%,0%-1%,7%,2%-11%,4%,2%-6%,0%,0%-1%
06840,Illinois,Braceville School District 75,231,14%,32%,15%-48%,31%,25%-38%,2%,0%-6%,1%,0%-5%,2%,0%-7%,0%,0%-10%
06880,Illinois,Bradford Community Unit School District 1,325,17%,38%,18%-58%,19%,15%-24%,2%,0%-6%,21%,3%-38%,5%,0%-9%,0%,0%-7%
06930,Illinois,Bradley School District 61,1980,21%,37%,27%-47%,33%,28%-38%,3%,1%-5%,12%,6%-18%,2%,1%-4%,8%,3%-13%
06960,Illinois,Bradley-Bourbonnais Consolidated High School District 307,6776,12%,32%,25%-38%,28%,26%-31%,1%,0%-2%,8%,5%-11%,4%,2%-5%,2%,1%-4%
07010,Illinois,Breese School District 12,1028,8%,29%,14%-43%,26%,21%-31%,0%,0%-1%,6%,0%-12%,0%,0%-2%,0%,0%-3%
07050,Illinois,Bremen Community High School District 228,"17,160",14%,43%,38%-47%,29%,27%-31%,2%,2%-3%,7%,5%-10%,4%,2%-5%,2%,1%-3%
07170,Illinois,Indian Springs School District 109,3816,26%,43%,35%-50%,28%,25%-31%,3%,2%-4%,14%,9%-19%,4%,2%-6%,19%,13%-26%
07200,Illinois,Brimfield Community Unit School District 309,699,6%,33%,18%-48%,16%,12%-20%,0%,0%-2%,2%,0%-5%,6%,1%-10%,0%,0%-3%
07290,Illinois,Lemont-Bromberek Combined School District 113A,4586,9%,12%,7%-17%,26%,23%-29%,1%,0%-1%,1%,0%-2%,3%,1%-6%,6%,2%-9%
07320,Illinois,Brookfield School District 95,1767,9%,29%,18%-39%,20%,16%-24%,1%,0%-2%,2%,0%-5%,3%,0%-6%,4%,0%-10%
07440,Illinois,Brownstown Community Unit School District 201,311,22%,31%,17%-45%,22%,17%-28%,1%,0%-4%,26%,4%-49%,5%,1%-10%,0%,0%-7%
07650,Illinois,Paxton-Buckley-Loda Community Unit School District 10,1447,13%,39%,28%-50%,28%,24%-32%,1%,0%-3%,6%,2%-11%,11%,7%-14%,0%,0%-2%
07740,Illinois,Buncombe Consolidated School District 43,101,16%,38%,18%-57%,27%,17%-36%,2%,0%-11%,38%,15%-61%,4%,0%-15%,0%,0%-22%
07770,Illinois,Bunker Hill Community Unit School District 8,721,16%,26%,14%-38%,26%,18%-33%,2%,0%-4%,11%,4%-18%,5%,2%-9%,0%,0%-3%
07830,Illinois,Central Community Unit School District 301,3972,5%,21%,10%-32%,24%,20%-27%,3%,1%-6%,0%,0%-1%,2%,0%-3%,1%,0%-2%
07860,Illinois,Burnham School District 154-5,308,29%,72%,45%-99%,24%,17%-32%,0%,0%-4%,26%,4%-48%,3%,0%-6%,0%,0%-7%
07950,Illinois,Bushnell-Prairie City Community Unit School District 170,676,18%,28%,15%-41%,23%,17%-28%,1%,0%-3%,17%,6%-27%,5%,2%-8%,0%,0%-3%
07980,Illinois,Butler School District 53,651,4%,11%,0%-23%,23%,17%-29%,0%,0%-2%,0%,0%-3%,1%,0%-4%,3%,0%-9%
08010,Illinois,Byron Community Unit School District 226,1353,6%,23%,15%-31%,26%,21%-31%,0%,0%-2%,3%,0%-6%,5%,1%-9%,0%,0%-2%
08040,Illinois,Cahokia Community Unit School District 187,3884,39%,72%,60%-84%,39%,33%-44%,3%,1%-5%,31%,21%-41%,3%,1%-4%,2%,0%-5%
08070,Illinois,Cairo Community Unit School District 1,533,47%,76%,56%-96%,52%,39%-64%,0%,0%-3%,70%,54%-85%,5%,2%-9%,0%,0%-4%
08100,Illinois,Lincoln Elementary School District 156,1618,34%,67%,46%-88%,41%,31%-51%,1%,0%-4%,15%,4%-25%,6%,2%-10%,2%,0%-5%
08130,Illinois,Calumet Public School District 132,1807,28%,61%,42%-81%,27%,22%-33%,2%,0%-4%,11%,6%-16%,4%,0%-9%,0%,0%-2%
08160,Illinois,Cambridge Community Unit School District 227,540,15%,35%,16%-53%,28%,23%-34%,1%,0%-3%,23%,10%-36%,10%,0%-20%,0%,0%-4%
08220,Illinois,Camp Point Community Unit School District 3,822,13%,36%,27%-46%,30%,27%-34%,0%,0%-2%,16%,6%-26%,5%,2%-7%,0%,0%-3%
08250,Illinois,Trico Community Unit School District 176,1312,19%,39%,25%-52%,25%,20%-29%,3%,2%-5%,22%,14%-30%,7%,4%-10%,4%,0%-9%
08280,Illinois,Canton Union School District 66,2358,21%,45%,33%-57%,27%,23%-30%,2%,0%-3%,7%,3%-11%,4%,2%-6%,1%,0%-3%
08310,Illinois,Carbon Cliff-Barstow School District 36,339,34%,59%,36%-82%,31%,24%-38%,5%,0%-12%,34%,14%-53%,7%,2%-13%,19%,0%-42%
08340,Illinois,Carbondale Elementary School District 95,2815,36%,61%,50%-71%,31%,28%-34%,1%,0%-2%,20%,12%-29%,7%,3%-11%,0%,0%-1%
08370,Illinois,Carbondale Community High School District 165,4251,31%,53%,44%-61%,30%,27%-32%,1%,0%-2%,16%,11%-22%,7%,4%-11%,0%,0%-1%
08400,Illinois,Consolidated High School District 230,"25,029",12%,19%,16%-21%,27%,26%-29%,2%,1%-2%,6%,4%-7%,3%,2%-3%,6%,4%-8%
08430,Illinois,Carlinville Community Unit School District 1,1633,19%,27%,17%-38%,26%,22%-30%,1%,0%-3%,2%,0%-4%,3%,0%-7%,0%,0%-2%
08460,Illinois,Carlyle Community Unit School District 1,1337,12%,25%,13%-36%,25%,21%-30%,1%,0%-2%,8%,4%-12%,9%,3%-14%,0%,0%-2%
08500,Illinois,Carmi-White County Community Unit School District 5,1346,17%,26%,18%-34%,26%,22%-30%,2%,0%-3%,9%,4%-15%,9%,5%-13%,0%,0%-2%
08550,Illinois,Community Unit School District 300,"23,008",8%,25%,22%-29%,29%,27%-30%,3%,2%-4%,4%,3%-6%,2%,2%-3%,4%,3%-6%
08580,Illinois,Carrier Mills-Stonefort Community Unit School District,469,33%,44%,28%-60%,25%,20%-31%,3%,0%-7%,23%,4%-41%,12%,4%-20%,0%,0%-5%
08610,Illinois,Carrollton Community Unit School District 1,713,13%,29%,17%-40%,34%,28%-39%,2%,0%-4%,9%,2%-16%,4%,0%-9%,0%,0%-3%
08640,Illinois,Carterville Community Unit School District 5,2220,12%,27%,19%-34%,30%,25%-34%,1%,0%-2%,13%,7%-20%,5%,2%-8%,1%,0%-3%
08730,Illinois,Cary Community Consolidated School District 26,3961,7%,16%,11%-21%,25%,23%-28%,1%,0%-2%,1%,0%-3%,4%,2%-6%,0%,0%-1%
08790,Illinois,Cass School District 63,1207,6%,31%,14%-48%,23%,18%-27%,1%,0%-2%,8%,0%-15%,7%,3%-11%,0%,0%-2%
08970,Illinois,Center Cass School District 66,1952,5%,13%,6%-19%,27%,24%-31%,0%,0%-1%,5%,1%-8%,4%,1%-7%,1%,0%-3%
09100,Illinois,Central A & M Community Unit School District 21,941,10%,20%,15%-25%,21%,18%-25%,3%,0%-5%,9%,3%-16%,4%,1%-7%,0%,0%-2%
09150,Illinois,Central School District 51,2012,4%,22%,11%-33%,22%,18%-26%,0%,0%-2%,2%,0%-5%,3%,0%-5%,0%,0%-1%
09170,Illinois,Central School District 104,641,16%,28%,11%-46%,22%,15%-28%,0%,0%-1%,12%,4%-20%,2%,0%-6%,0%,0%-3%
09180,Illinois,Central City School District 133,375,34%,29%,18%-40%,27%,21%-33%,0%,0%-3%,16%,6%-26%,4%,1%-7%,0%,0%-6%
09210,Illinois,Lockport School District 91,982,8%,29%,14%-45%,26%,21%-30%,1%,0%-2%,1%,0%-3%,2%,0%-5%,0%,0%-3%
09270,Illinois,Centralia School District 135,2004,38%,56%,45%-67%,26%,23%-30%,3%,1%-4%,16%,11%-22%,16%,11%-22%,0%,0%-2%
09300,Illinois,Centralia High School District 200,3286,25%,48%,40%-56%,26%,23%-28%,2%,1%-3%,16%,12%-20%,13%,9%-17%,0%,0%-1%
09330,Illinois,Cerro Gordo Community Unit School District 100,440,13%,26%,17%-35%,21%,15%-26%,0%,0%-2%,22%,4%-39%,13%,5%-21%,0%,0%-5%
09400,Illinois,Chadwick-Milledgeville Community Unit School District 399,474,11%,25%,13%-36%,19%,15%-23%,0%,0%-2%,6%,0%-13%,1%,0%-4%,0%,0%-5%
09420,Illinois,Champaign Community Unit School District 4,"11,618",18%,33%,28%-38%,28%,26%-30%,6%,5%-7%,10%,7%-14%,6%,4%-7%,8%,6%-11%
09510,Illinois,Chaney-Monge School District 88,709,16%,45%,29%-62%,36%,29%-43%,2%,0%-6%,16%,4%-28%,5%,1%-9%,16%,0%-34%
09540,Illinois,Channahon School District 17,2147,12%,19%,10%-28%,25%,22%-29%,1%,0%-2%,0%,0%-1%,1%,0%-2%,1%,0%-2%
09600,Illinois,Charleston Community Unit School District 1,2976,19%,27%,18%-37%,27%,24%-31%,1%,0%-2%,8%,3%-12%,7%,3%-11%,0%,0%-1%
09780,Illinois,Chester Non-High School District 122,157,10%,13%,3%-23%,21%,14%-29%,1%,0%-7%,8%,0%-17%,6%,2%-10%,0%,0%-14%
09810,Illinois,Chester Community Unit School District 139,1415,16%,48%,32%-63%,22%,18%-26%,1%,0%-3%,13%,7%-19%,8%,4%-13%,0%,0%-2%
09850,Illinois,Chester-East Lincoln Community Csd 61,653,9%,25%,15%-34%,25%,19%-30%,1%,0%-3%,8%,3%-12%,11%,5%-18%,2%,0%-6%
09930,Illinois,Chicago Public School District 299,"399,883",23%,48%,47%-49%,27%,27%-27%,4%,4%-4%,19%,18%-20%,4%,4%-4%,8%,7%-8%
09960,Illinois,Chicago Heights School District 170,4562,33%,46%,39%-53%,28%,24%-31%,3%,2%-4%,28%,20%-36%,3%,1%-4%,6%,2%-11%
09990,Illinois,Chicago Ridge School District 127-5,1801,31%,44%,30%-58%,35%,29%-41%,4%,2%-6%,8%,3%-12%,8%,3%-14%,3%,0%-7%
10200,Illinois,Cicero School District 99,"18,982",21%,42%,38%-45%,34%,32%-36%,10%,9%-11%,22%,19%-25%,3%,2%-4%,14%,11%-16%
10240,Illinois,North Wayne Community Unit School District 200,374,14%,7%,4%-11%,25%,20%-30%,1%,0%-4%,19%,7%-30%,5%,0%-9%,0%,0%-6%
10290,Illinois,Cissna Park Community Unit School District 6,290,12%,27%,13%-41%,26%,20%-31%,0%,0%-4%,7%,0%-17%,0%,0%-4%,0%,0%-8%
10340,Illinois,Clay City Community Unit District 10,342,14%,41%,21%-60%,28%,21%-36%,3%,0%-6%,23%,10%-37%,10%,3%-17%,0%,0%-6%
10380,Illinois,Skokie School District 73-5,1813,12%,11%,5%-17%,27%,23%-31%,3%,1%-5%,0%,0%-2%,5%,0%-11%,4%,0%-8%
10410,Illinois,Central Community Unit School District 4,1134,12%,24%,18%-31%,26%,23%-30%,2%,1%-4%,10%,5%-15%,3%,1%-4%,1%,0%-3%
10440,Illinois,Clinton Community Unit School District 15,1969,13%,29%,21%-36%,28%,25%-32%,1%,0%-2%,12%,7%-17%,5%,3%-7%,0%,0%-2%
10470,Illinois,Community Consolidated School District 93,5782,9%,24%,19%-29%,28%,26%-30%,4%,3%-5%,4%,2%-6%,4%,2%-5%,6%,3%-8%
10530,Illinois,Coal City Community Unit School District 1,1942,7%,17%,11%-24%,27%,23%-31%,1%,0%-2%,6%,2%-10%,3%,1%-5%,0%,0%-2%
10570,Illinois,Cobden School Unit District 17,501,17%,54%,30%-78%,25%,18%-32%,3%,0%-6%,17%,8%-27%,6%,2%-10%,0%,0%-4%
10650,Illinois,Collinsville Community Unit School District 10,6902,17%,32%,25%-38%,31%,28%-33%,2%,1%-3%,11%,7%-15%,5%,3%-6%,2%,1%-3%
10690,Illinois,Colona School District 190,445,18%,24%,2%-46%,37%,27%-46%,0%,0%-2%,9%,0%-23%,0%,0%-3%,0%,0%-5%
10740,Illinois,Columbia Community Unit School District 4,2471,3%,16%,11%-21%,23%,19%-26%,0%,0%-1%,1%,0%-2%,3%,1%-5%,1%,0%-3%
10790,Illinois,Hamilton County Community Unit School District 10,1305,17%,20%,12%-28%,22%,18%-27%,0%,0%-2%,13%,3%-23%,6%,1%-10%,0%,0%-2%
10800,Illinois,Oakwood Community Unit School District 76,872,17%,43%,32%-53%,25%,22%-29%,1%,0%-2%,18%,6%-30%,4%,2%-6%,0%,0%-3%
10820,Illinois,Westville Community Unit School District 2,1342,22%,49%,35%-63%,32%,27%-38%,2%,0%-4%,17%,6%-28%,2%,0%-3%,6%,0%-13%
10830,Illinois,Triopia Community Unit School District 27,345,12%,17%,9%-25%,18%,14%-22%,1%,0%-3%,8%,4%-12%,10%,3%-17%,0%,0%-6%
10860,Illinois,Cornell Community Consolidated School District 426,140,20%,16%,4%-28%,19%,15%-23%,2%,0%-7%,11%,0%-25%,5%,0%-14%,0%,0%-16%
10950,Illinois,Ford Heights School District 169,731,39%,86%,70%-100%,20%,11%-29%,4%,0%-8%,21%,10%-33%,6%,2%-11%,0%,0%-3%
10980,Illinois,Coulterville Unit School District 1,169,16%,13%,0%-25%,22%,15%-29%,1%,0%-4%,12%,4%-19%,4%,0%-8%,0%,0%-13%
11010,Illinois,Country Club Hills School District 160,2393,26%,51%,37%-65%,18%,12%-24%,3%,0%-6%,5%,1%-9%,0%,0%-1%,0%,0%-1%
11100,Illinois,Crab Orchard Community Unit School District 3,376,12%,16%,6%-25%,20%,15%-26%,2%,0%-6%,25%,12%-39%,3%,0%-8%,0%,0%-6%
11220,Illinois,Creston Community Consolidated School District 161,116,5%,45%,23%-67%,28%,22%-35%,2%,0%-9%,14%,0%-29%,0%,0%-13%,0%,0%-19%
11250,Illinois,Crete-Monee Community Unit School District 201-U,5085,15%,45%,36%-54%,24%,21%-27%,0%,0%-1%,7%,4%-10%,3%,2%-5%,0%,0%-1%
11290,Illinois,Creve Coeur School District 76,652,21%,48%,20%-76%,42%,34%-51%,2%,0%-4%,11%,2%-21%,18%,2%-34%,0%,0%-5%
11350,Illinois,Crystal Lake Community Consolidated School District 47,"12,086",7%,17%,14%-20%,31%,29%-33%,1%,1%-2%,4%,2%-5%,4%,3%-5%,2%,1%-3%
11370,Illinois,Community High School District 155,"17,734",5%,17%,15%-20%,29%,28%-31%,1%,1%-2%,3%,2%-4%,4%,3%-5%,1%,1%-2%
11400,Illinois,Fulton County Community Unit School District 3,497,18%,61%,45%-77%,22%,16%-27%,1%,0%-3%,19%,4%-33%,4%,0%-10%,0%,0%-4%
11520,Illinois,Cypress School District 64,216,18%,21%,10%-33%,22%,14%-31%,1%,0%-8%,21%,6%-35%,4%,1%-6%,0%,0%-10%
11610,Illinois,Dakota Community Unit School District 201,846,11%,35%,24%-47%,22%,18%-25%,1%,0%-2%,2%,0%-4%,5%,2%-7%,0%,0%-3%
11700,Illinois,Dalzell School District 98,90,14%,30%,9%-51%,34%,28%-40%,0%,0%-8%,12%,0%-28%,0%,0%-17%,0%,0%-24%
11730,Illinois,Damiansville School District 62,142,8%,20%,8%-32%,23%,10%-36%,1%,0%-8%,11%,0%-23%,1%,0%-9%,0%,0%-15%
11790,Illinois,Danville Community Consolidated School District 118,6649,34%,55%,48%-62%,31%,28%-33%,2%,1%-3%,23%,17%-28%,7%,5%-9%,3%,0%-5%
11850,Illinois,Decatur School District 61,"10,110",35%,52%,46%-57%,30%,29%-32%,1%,1%-2%,12%,9%-14%,9%,7%-11%,0%,0%-1%
11880,Illinois,Deer Creek-Mackinaw Community Unit School District 701,1102,5%,19%,7%-30%,20%,16%-23%,1%,0%-2%,1%,0%-2%,5%,2%-8%,0%,0%-3%
11910,Illinois,Deer Park Community Consolidated School District 82,128,16%,13%,1%-26%,25%,18%-33%,0%,0%-8%,9%,0%-24%,2%,0%-11%,0%,0%-17%
11980,Illinois,Deerfield School District 109,4474,3%,14%,10%-18%,27%,24%-30%,0%,0%-1%,1%,0%-3%,4%,3%-6%,1%,0%-1%
12000,Illinois,DeKalb Community Unit School District 428,7224,18%,45%,38%-52%,37%,34%-40%,2%,1%-3%,7%,3%-10%,7%,4%-10%,3%,1%-5%
12030,Illinois,DeLand-Weldon Community Unit School District 57,190,18%,26%,17%-35%,33%,26%-40%,2%,0%-7%,8%,1%-16%,6%,0%-16%,0%,0%-12%
12060,Illinois,Delavan Community Unit School District 703,463,11%,27%,16%-38%,24%,20%-29%,1%,0%-4%,19%,8%-29%,8%,1%-15%,0%,0%-5%
12090,Illinois,Depue Community Unit School District 103,402,15%,16%,7%-24%,25%,18%-32%,8%,3%-12%,28%,15%-41%,3%,0%-7%,19%,8%-31%
12120,Illinois,Des Plaines Community Consolidated School District 62,7490,13%,30%,24%-37%,28%,26%-30%,3%,2%-4%,11%,7%-15%,3%,2%-5%,10%,7%-14%
12150,Illinois,De Soto Consolidated School District 86,352,16%,55%,29%-81%,23%,18%-28%,0%,0%-3%,7%,2%-12%,1%,0%-5%,0%,0%-6%
12210,Illinois,Diamond Lake School District 76,1742,14%,42%,23%-61%,32%,27%-36%,6%,3%-9%,16%,5%-28%,3%,0%-7%,7%,1%-14%
12240,Illinois,Dieterich Community Unit School District 30,441,14%,39%,23%-55%,30%,25%-34%,6%,2%-11%,9%,3%-15%,5%,1%-8%,0%,0%-5%
12270,Illinois,Dimmick Community Consolidated School District 175,246,14%,13%,4%-22%,32%,26%-37%,0%,0%-4%,7%,0%-13%,7%,1%-13%,0%,0%-9%
